,flight_AD,flight_datetime,flight_AL_Synchron_code,flight_number,flight_ID,flight_terminal_#,flight_AP,flight_AC_Synchron_code,flight_AC_PAX_capacity_total,flight_PAX,Aircraft_Stand
0,A,"17.08.2019 11:05",U6,1,D,1,SVX,320,160,152,114
1,D,"17.08.2019 19:15",U6,2,D,1,SIP,320,160,95,116
2,D,"17.08.2019 11:55",U6,439,D,1,SVX,320,160,159,115
3,A,"17.08.2019 18:20",U6,440,D,1,SIP,320,160,160,115
4,D,"17.08.2019 12:05",AH,3001,I,5,ALG,738,160,94,37
5,D,"17.08.2019 6:00",SU,2,D,1,LED,SU9,87,75,206
6,A,"17.08.2019 9:35",SU,3,D,1,LED,SU9,87,79,205
7,D,"17.08.2019 16:50",SU,1022,D,1,VOZ,SU9,87,64,202
8,A,"17.08.2019 20:30",SU,1023,D,1,VOZ,SU9,87,82,205
9,D,"17.08.2019 9:30",SU,1100,D,1,KRR,SU9,87,80,89
10,A,"17.08.2019 15:25",SU,1101,D,1,KRR,SU9,87,83,217
11,D,"17.08.2019 0:35",SU,1132,D,1,AER,SU9,87,82,217
12,A,"17.08.2019 14:35",SU,1133,D,1,AER,SU9,87,70,202
13,D,"17.08.2019 13:20",SU,1156,D,1,ROV,SU9,87,77,88
14,D,"17.08.2019 1:55",SU,1164,D,1,ROV,SU9,87,81,217
15,A,"17.08.2019 7:45",SU,1165,D,1,ROV,SU9,87,69,203
16,D,"17.08.2019 17:35",SU,1186,D,1,VOG,SU9,87,79,89
17,A,"17.08.2019 22:10",SU,1187,D,1,VOG,SU9,87,85,190
18,D,"17.08.2019 1:50",SU,1206,D,1,KUF,SU9,87,76,206
19,A,"17.08.2019 6:10",SU,1207,D,1,KUF,SU9,87,79,206
20,D,"17.08.2019 1:25",SU,1218,D,1,PEE,SU9,87,85,89
21,A,"17.08.2019 6:40",SU,1219,D,1,PEE,SU9,87,80,213
22,D,"17.08.2019 9:45",SU,1220,D,1,GOJ,SU9,87,84,217
23,A,"17.08.2019 13:15",SU,1221,D,1,GOJ,SU9,87,79,88
24,D,"17.08.2019 16:30",SU,1226,D,1,GOJ,SU9,87,77,89
25,A,"17.08.2019 19:55",SU,1227,D,1,GOJ,SU9,87,53,206
26,D,"17.08.2019 6:00",SU,1228,D,1,GOJ,SU9,87,72,203
27,A,"17.08.2019 9:25",SU,1229,D,1,GOJ,SU9,87,70,206
28,D,"17.08.2019 9:30",SU,1230,D,1,UFA,SU9,87,84,205
29,A,"17.08.2019 14:55",SU,1231,D,1,UFA,SU9,87,84,191
30,D,"17.08.2019 18:05",SU,1260,D,1,UFA,SU9,87,48,206
31,A,"17.08.2019 23:35",SU,1261,D,1,UFA,SU9,87,38,206
32,D,"17.08.2019 10:45",SU,1286,D,1,ULV,SU9,87,85,217
33,A,"17.08.2019 15:00",SU,1287,D,1,ULV,SU9,87,72,206
34,D,"17.08.2019 1:50",SU,1288,D,1,ULV,SU9,87,82,190
35,A,"17.08.2019 6:55",SU,1289,D,1,ULV,SU9,87,59,210
36,D,"17.08.2019 16:55",SU,1292,D,1,IJK,SU9,87,82,190
37,A,"17.08.2019 21:50",SU,1293,D,1,IJK,SU9,87,73,88
38,D,"17.08.2019 23:25",SU,1294,D,1,IJK,SU9,87,72,217
39,A,"17.08.2019 4:20",SU,1295,D,1,IJK,SU9,87,65,205
40,D,"17.08.2019 17:50",SU,1316,D,1,MMK,SU9,87,70,217
41,A,"17.08.2019 0:05",SU,1317,D,1,MMK,SU9,87,83,191
42,D,"17.08.2019 7:15",SU,1320,D,1,MMK,SU9,87,78,88
43,A,"17.08.2019 12:55",SU,1321,D,1,MMK,SU9,87,84,205
44,D,"17.08.2019 16:20",SU,1330,D,1,ARH,SU9,87,74,203
45,A,"17.08.2019 21:10",SU,1331,D,1,ARH,SU9,87,76,190
46,D,"17.08.2019 8:10",SU,1332,D,1,ARH,SU9,87,83,206
47,A,"17.08.2019 13:00",SU,1333,D,1,ARH,SU9,87,83,213
48,D,"17.08.2019 0:05",SU,1334,D,1,ARH,SU9,87,76,205
49,A,"17.08.2019 4:50",SU,1335,D,1,ARH,SU9,87,82,191
50,D,"17.08.2019 8:55",SU,1350,D,1,VOZ,SU9,87,73,210
51,A,"17.08.2019 12:20",SU,1351,D,1,VOZ,SU9,87,84,191
52,D,"17.08.2019 23:50",SU,1352,D,1,VOZ,SU9,87,48,205
53,A,"17.08.2019 7:30",SU,1353,D,1,VOZ,SU9,87,75,89
54,D,"17.08.2019 6:35",SU,1356,D,1,RTW,SU9,87,75,89
55,A,"17.08.2019 11:10",SU,1357,D,1,RTW,SU9,87,82,217
56,D,"17.08.2019 19:15",SU,1358,D,1,RTW,SU9,87,65,205
57,A,"17.08.2019 23:35",SU,1359,D,1,RTW,SU9,87,72,217
58,D,"17.08.2019 9:45",SU,1360,D,1,RTW,SU9,87,78,88
59,A,"17.08.2019 14:05",SU,1361,D,1,RTW,SU9,87,53,206
60,D,"17.08.2019 16:40",SU,1362,D,1,RTW,SU9,87,41,88
61,A,"17.08.2019 21:05",SU,1363,D,1,RTW,SU9,87,48,89
62,D,"17.08.2019 17:35",SU,1364,D,1,STW,SU9,87,86,205
63,A,"17.08.2019 23:15",SU,1365,D,1,STW,SU9,87,70,89
64,D,"17.08.2019 9:00",SU,1366,D,1,STW,SU9,87,87,213
65,A,"17.08.2019 14:25",SU,1367,D,1,STW,SU9,87,84,217
66,D,"17.08.2019 21:10",SU,1368,D,1,STW,SU9,87,54,89
67,A,"17.08.2019 5:15",SU,1369,D,1,STW,SU9,87,78,210
68,D,"17.08.2019 10:25",SU,1370,D,1,EGO,SU9,87,76,89
69,A,"17.08.2019 14:20",SU,1371,D,1,EGO,SU9,87,70,203
70,D,"17.08.2019 23:55",SU,1372,D,1,EGO,SU9,87,37,88
71,A,"17.08.2019 4:10",SU,1373,D,1,EGO,SU9,87,75,217
72,D,"17.08.2019 19:40",SU,1374,D,1,EGO,SU9,87,66,88
73,A,"17.08.2019 23:35",SU,1375,D,1,EGO,SU9,87,77,190
74,D,"17.08.2019 11:45",SU,1376,D,1,RTW,SU9,87,83,205
75,A,"17.08.2019 15:55",SU,1377,D,1,RTW,SU9,87,77,206
76,D,"17.08.2019 15:25",SU,1378,D,1,RTW,SU9,87,41,89
77,A,"17.08.2019 19:40",SU,1379,D,1,RTW,SU9,87,49,88
78,D,"17.08.2019 13:55",SU,1388,D,1,ULV,SU9,87,44,210
79,A,"17.08.2019 18:05",SU,1389,D,1,ULV,SU9,87,43,89
80,D,"17.08.2019 8:40",SU,1390,D,1,SCW,SU9,87,87,217
81,A,"17.08.2019 13:50",SU,1391,D,1,SCW,SU9,87,70,210
82,D,"17.08.2019 12:50",SU,1392,D,1,PEE,SU9,87,83,205
83,A,"17.08.2019 22:10",SU,1393,D,1,PEE,SU9,87,76,89
84,D,"17.08.2019 22:40",SU,1396,D,1,SCW,SU9,87,79,213
85,A,"17.08.2019 4:35",SU,1397,D,1,SCW,SU9,87,70,89
86,D,"17.08.2019 15:20",SU,1404,D,1,SVX,SU9,87,68,88
87,A,"17.08.2019 21:35",SU,1405,D,1,SVX,SU9,87,79,203
88,D,"17.08.2019 0:40",SU,1428,D,1,MQF,SU9,87,78,206
89,A,"17.08.2019 6:30",SU,1429,D,1,MQF,SU9,87,87,89
90,D,"17.08.2019 14:45",SU,1434,D,1,MQF,SU9,87,77,202
91,A,"17.08.2019 20:55",SU,1435,D,1,MQF,SU9,87,70,206
92,D,"17.08.2019 21:30",SU,1466,D,1,SKX,SU9,87,40,203
93,A,"17.08.2019 7:45",SU,1467,D,1,SKX,SU9,87,69,88
94,D,"17.08.2019 1:30",SU,1508,D,1,TJM,SU9,87,87,205
95,A,"17.08.2019 8:20",SU,1509,D,1,TJM,SU9,87,86,190
96,D,"17.08.2019 7:25",SU,1642,D,1,ASF,SU9,87,84,205
97,A,"17.08.2019 13:05",SU,1643,D,1,ASF,SU9,87,87,206
98,D,"17.08.2019 14:25",SU,1680,D,1,NBC,SU9,87,76,217
99,A,"17.08.2019 19:25",SU,1681,D,1,NBC,SU9,87,77,202
100,D,"17.08.2019 8:35",SU,1830,I,3,MSQ,SU9,87,75,1
101,A,"17.08.2019 12:15",SU,1831,I,2,MSQ,SU9,87,78,80
102,D,"17.08.2019 18:10",SU,1832,I,3,MSQ,SU9,87,57,6
103,A,"17.08.2019 21:55",SU,1833,I,2,MSQ,SU9,87,82,78
104,D,"17.08.2019 22:00",SU,1834,I,3,MSQ,SU9,87,78,19
105,A,"17.08.2019 7:40",SU,1835,I,2,MSQ,SU9,87,79,80
106,D,"17.08.2019 13:25",SU,1840,I,3,MSQ,SU9,87,68,22
107,A,"17.08.2019 17:35",SU,1841,I,2,MSQ,SU9,87,77,81
108,D,"17.08.2019 16:50",SU,1842,I,3,MSQ,SU9,87,80,5
109,A,"17.08.2019 20:45",SU,1843,I,2,MSQ,SU9,87,79,78
110,D,"17.08.2019 9:20",SU,2034,I,5,OTP,SU9,87,61,34
111,A,"17.08.2019 16:25",SU,2035,I,5,OTP,SU9,87,63,80
112,D,"17.08.2019 20:55",SU,2038,I,5,OTP,SU9,87,58,80
